,nome_fantasia,cnpj_basico,cnpj_ordem,cnpj_dv,cnae_princ,cnaes_sec,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200
27513,,13563680,24,90,4683400,"4618499,4622200,4623109,4623199,4644302,4661300,4789099,7490103",MT,9897,Parceiros,1,1,0,0,0,0
27776,AGRITERRA MAQUINAS E IMPLEMENTOS,22625036,1,1,4661300,"3314711,4614100,4930202",MT,9937,Parceiros,1,0,0,1,0,0
27795,XINGU MAQUINAS E IMPLEMENTOS AGRICOLAS,21174220,2,92,4661300,"4614100,4681805,4520001",MT,97,Parceiros,1,0,0,0,0,0
28370,XINGU MAQUINAS E IMPLEMENTOS AGRICOLAS,21174220,3,73,4661300,"4681805,4614100,4520001",MT,9193,Parceiros,1,0,0,0,0,0
28674,MICK MAQUINAS E EIMPLEMENTOS AGRICOLAS,18599925,2,47,4661300,"4530705,4683400,4681805,4530702,4732600,3314712,4614100",MT,9929,Parceiros,1,1,0,0,1,0
28713,AGRICASE,5444853,15,31,4661300,"4520001,4530703,4619200,4662100,4732600,7490104,7731400,7732201",MS,9143,Parceiros,1,0,0,0,0,1
28715,,22794447,1,12,4661300,"2833000,3314710,4530701,4649402,9512600",PR,7583,Parceiros,1,0,0,0,0,0
29062,COMIGO,2077618,41,72,4661300,"3314711,3314712,4614100,4618499,4619200,4623106,4623108,4623109,4644302,4681805,4683400,4692300,4732600,4771704,4789004,4930202,5212500,7490103,7500100",GO,9571,Parceiros,1,1,0,1,1,1
29106,GUIMARAES TECNOLOGIA AGRICOLA,23571422,1,12,4661300,"3314711,4618499,4789099,7120100",MT,9151,Parceiros,1,0,0,1,0,0
29109,,9380669,1,20,4683400,"0111303,0115600,0119905,0151201,0161003,4930202",RS,8727,Parceiros,0,1,0,0,0,0
29272,SHARK DISTRIBUIDORA,3988196,8,39,4661300,"4618499,4520001",PR,7889,Parceiros,1,0,0,0,0,0
29465,CAETANO AGRICOLA,26176614,1,12,4661300,"4614100,3314711,4930201,4732600,4530703,4683400,4623106",PI,1037,Parceiros,1,1,0,1,0,0
29684,,45236791,171,67,4683400,"0161003,0162899,3314711,3321000,4520001,4530703,4530705,4623101,4623106,4623109,4644302,4649499,4661300,4692300,4744001,4753900,4755503,4759899,4763602,4763604,4781400,4782201,4789002,4789004,4789005,4789099,5211799,7112000,7120100,7490103,7490104,7500100,8230001,8599604",MG,4301,Parceiros,1,1,0,1,0,0
30982,AGRICASE,5444853,16,12,4661300,"4520001,4530703,4619200,4662100,4732600,7490104,7731400,7732201",PR,7749,Parceiros,1,0,0,0,0,1
31944,,88605506,4,18,4661300,"3314711,3314712,4614100",RS,962,Parceiros,1,0,0,1,1,0
32356,AGROLAVOURA,34415598,1,0,4661300,"4520001,4530704,4530705,4530706,4683400,4744001",RS,8947,Parceiros,1,1,1,0,0,0
32411,,91359927,2,59,4661300,"3314711,4511103,4530703,4731800,4732600,4789099",SC,8253,Parceiros,1,0,0,1,0,0
32639,,5444853,18,84,4661300,"4520001,4530703,4619200,4662100,4732600,7490104,7731400,7732201",PR,7739,Parceiros,1,0,0,0,0,1
32741,PRIMAQ,10322268,2,84,4661300,"3314711,3314712,3314716,3314717,4530705,4541204,4543900,4614100,4619200,4662100,4669999,4692300,4732600,4744001,4789099,6203100,6622300",MA,803,Parceiros,1,0,0,1,1,1
32995,,54718481,7,90,4661300,"3314711,3314712,4511102,4512901,4530705,4732600,4781400,4782201,7490104",SP,6857,Parceiros,1,0,0,1,1,0
35582,NCAGRO INSUMOS E IMPLEMENTOS AGRICOLAS,33619895,1,4,4661300,"4683400,4789099,4930202",RS,8755,Parceiros,1,1,0,0,0,0
35820,B S AGRO IMPLEMENTOS AGRICOLAS,34639236,1,94,4661300,"3314711,4530701,4530703,4530705,4614100,4681805,4732600,4744001,4782201",MT,9763,Parceiros,1,0,0,1,0,0
35956,AGGIS TECNOLOGIAS INTEGRADAS,18863900,1,28,161003,"4611700,4619200,4661300,6399200,7020400,7490103,7490199",MS,9073,Parceiros,1,0,0,0,0,1
36076,,3060727,6,67,4789099,"3314712,3314711,4614100,4530703,4661300",RS,8531,Parceiros,1,0,0,1,1,0
36493,ENGEGROW AGRICULTURA INTELIGENTE,26166607,1,30,7490199,"0230600,7490103,7112000,0161001,0161099,0161003,3312102,3314711,3321000,4661300,4669999,6202300,7731400,7739099,4789099",SP,7245,Parceiros,1,0,0,1,0,0
36706,AGRIPEC,30918853,1,78,4530703,"4520001,4530704,4530705,4530706,4611700,4614100,4661300,7731400,7732201",GO,9571,Parceiros,1,0,1,0,0,0
36733,APM TECNOLOGIA AGRICOLA RIO VERDE,30758550,1,35,4530703,"4661300,4669999,4789099",GO,9571,Parceiros,1,0,0,0,0,0
36734,,3451117,5,3,1061901,"0111301,0115600,1066000,3314711,3314712,4619200,4623109,4632001,4632003,4649499,4661300,4672900,4683400,4692300,4729699,4732600,4744001,4752100,4753900,4754701,4763604,4771704,4789002,4789004,4930202,4930203,4930204,5211701",SC,8171,Parceiros,1,1,0,1,1,1
