,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200,cnpj_basico
240,AL,2705,Sem Parceria,1,0,1,1,1,0,2
241,AL,2705,Sem Parceria,1,1,0,0,0,0,10
242,AL,2705,Sem Parceria,1,1,0,0,0,1,4
243,AL,2705,Sem Parceria,1,1,0,0,1,0,1
244,AL,2705,Sem Parceria,1,1,0,0,1,1,2
245,AL,2707,Sem Parceria,0,0,0,0,0,1,3
246,AL,2707,Sem Parceria,0,0,1,0,0,0,6
247,AL,2707,Sem Parceria,0,1,0,0,0,0,1
248,AL,2709,Sem Parceria,0,0,0,0,0,1,4
249,AL,2709,Sem Parceria,0,0,0,0,1,0,1
250,AL,2709,Sem Parceria,0,0,1,0,0,0,3
251,AL,2711,Sem Parceria,0,0,0,0,0,1,7
252,AL,2711,Sem Parceria,0,0,0,1,0,0,1
253,AL,2711,Sem Parceria,0,0,1,0,0,0,3
254,AL,2713,Sem Parceria,0,0,0,0,0,1,3
255,AL,2713,Sem Parceria,0,0,0,1,0,0,1
256,AL,2713,Sem Parceria,0,0,1,0,0,0,9
257,AL,2713,Sem Parceria,0,0,1,0,1,0,2
258,AL,2713,Sem Parceria,0,0,1,1,1,0,2
259,AL,2713,Sem Parceria,0,1,0,0,0,0,1
260,AL,2713,Sem Parceria,1,0,0,0,0,0,1
261,AL,2713,Sem Parceria,1,1,0,0,0,0,3
262,AL,2713,Sem Parceria,1,1,0,0,0,1,1
263,AL,2717,Sem Parceria,0,0,1,0,0,0,2
264,AL,2717,Sem Parceria,0,1,0,0,0,0,2
265,AL,2719,Sem Parceria,0,0,0,0,0,1,4
266,AL,2719,Sem Parceria,0,0,0,0,1,0,1
267,AL,2719,Sem Parceria,0,0,0,1,0,0,1
268,AL,2719,Sem Parceria,0,0,0,1,1,0,2
269,AL,2719,Sem Parceria,0,0,1,0,0,0,6
270,AL,2719,Sem Parceria,0,1,0,0,0,0,1
271,AL,2719,Sem Parceria,1,0,0,0,0,0,2
272,AL,2721,Sem Parceria,0,0,1,0,0,0,3
273,AL,2721,Sem Parceria,0,1,0,0,0,0,1
274,AL,2723,Sem Parceria,0,0,0,0,0,1,2
275,AL,2723,Sem Parceria,0,0,1,0,0,0,2
276,AL,2725,Sem Parceria,0,0,0,0,0,1,2
277,AL,2725,Sem Parceria,0,0,1,0,0,0,6
278,AL,2725,Sem Parceria,1,0,0,1,0,0,1
279,AL,2727,Parceiros,0,1,0,0,0,0,1
280,AL,2727,Sem Parceria,0,0,0,0,0,1,2
281,AL,2727,Sem Parceria,0,0,0,1,0,0,1
282,AL,2727,Sem Parceria,0,0,1,0,0,0,5
283,AL,2727,Sem Parceria,0,0,1,1,1,0,1
284,AL,2727,Sem Parceria,0,1,0,0,0,0,2
285,AL,2729,Sem Parceria,0,0,0,0,0,1,2
286,AL,2729,Sem Parceria,0,0,1,0,0,0,3
287,AL,2729,Sem Parceria,0,0,1,0,1,0,1
288,AL,2729,Sem Parceria,0,1,0,0,0,0,2
289,AL,2729,Sem Parceria,1,0,0,0,0,0,1
290,AL,2731,Sem Parceria,0,0,0,0,0,1,1
291,AL,2731,Sem Parceria,0,0,1,0,0,0,3
292,AL,2733,Sem Parceria,0,0,0,0,0,1,2
293,AL,2735,Sem Parceria,0,0,0,0,0,1,2
294,AL,2735,Sem Parceria,0,0,1,0,0,0,4
295,AL,2737,Sem Parceria,0,0,1,0,0,0,3
296,AL,2739,Sem Parceria,0,0,0,0,0,1,3
297,AL,2739,Sem Parceria,0,0,0,0,1,0,1
298,AL,2739,Sem Parceria,0,1,0,0,0,0,2
299,AL,2739,Sem Parceria,0,1,0,0,0,1,1
300,AL,2739,Sem Parceria,1,0,0,0,0,0,1
301,AL,2739,Sem Parceria,1,1,0,0,0,0,1
302,AL,2741,Sem Parceria,0,0,0,0,0,1,4
303,AL,2741,Sem Parceria,0,0,1,0,0,0,3
304,AL,2741,Sem Parceria,0,1,0,0,0,0,2
305,AL,2743,Sem Parceria,0,0,0,0,0,1,1
306,AL,2743,Sem Parceria,0,0,1,0,0,0,2
307,AL,2745,Sem Parceria,0,0,0,0,0,1,8
308,AL,2745,Sem Parceria,0,0,0,0,1,0,2
309,AL,2745,Sem Parceria,0,0,0,1,0,0,2
310,AL,2745,Sem Parceria,0,0,0,1,1,0,1
311,AL,2745,Sem Parceria,0,0,1,0,0,0,18
312,AL,2745,Sem Parceria,0,0,1,0,1,0,2
313,AL,2745,Sem Parceria,0,1,0,0,0,0,8
314,AL,2745,Sem Parceria,1,1,0,0,0,0,1
315,AL,2747,Sem Parceria,0,0,0,0,0,1,26
316,AL,2747,Sem Parceria,0,0,0,0,1,0,1
317,AL,2747,Sem Parceria,0,0,0,1,0,0,2
318,AL,2747,Sem Parceria,0,0,1,0,0,0,20
319,AL,2747,Sem Parceria,0,1,0,0,0,0,2
320,AL,2747,Sem Parceria,1,1,0,0,0,0,1
321,AL,2747,Sem Parceria,1,1,0,1,0,0,1
322,AL,2749,Sem Parceria,0,0,1,0,0,0,3
323,AL,2749,Sem Parceria,0,0,1,0,1,0,1
324,AL,2751,Sem Parceria,0,0,1,0,0,0,1
325,AL,2751,Sem Parceria,0,1,0,0,0,0,3
326,AL,2751,Sem Parceria,1,0,0,0,0,0,1
327,AL,2755,Sem Parceria,0,0,0,0,0,1,1
328,AL,2755,Sem Parceria,0,0,1,0,0,0,2
329,AL,2755,Sem Parceria,0,1,0,0,0,0,1
330,AL,2757,Sem Parceria,0,0,0,0,0,1,2
331,AL,2757,Sem Parceria,0,0,0,0,1,0,2
332,AL,2757,Sem Parceria,0,0,1,0,0,0,27
333,AL,2757,Sem Parceria,0,1,0,0,0,0,4
334,AL,2757,Sem Parceria,0,1,1,0,0,0,1
335,AL,2757,Sem Parceria,1,1,0,0,0,0,1
336,AL,2759,Sem Parceria,0,0,1,0,0,0,2
337,AL,2761,Sem Parceria,0,0,1,0,0,0,1
338,AL,2761,Sem Parceria,0,1,0,0,0,0,1
339,AL,2761,Sem Parceria,1,1,0,0,0,1,1
340,AL,2763,Sem Parceria,0,0,0,0,0,1,2
341,AL,2763,Sem Parceria,0,0,1,0,0,0,1
342,AL,2763,Sem Parceria,0,1,0,0,0,0,2
343,AL,2763,Sem Parceria,1,0,0,0,0,0,2
344,AL,2765,Sem Parceria,0,0,1,0,0,0,1
345,AL,2767,Sem Parceria,0,0,0,0,0,1,1
346,AL,2767,Sem Parceria,0,0,1,0,0,0,1
347,AL,2767,Sem Parceria,1,0,0,0,0,0,1
348,AL,2769,Sem Parceria,0,0,0,0,0,1,1
349,AL,2771,Sem Parceria,0,0,0,0,0,1,1
350,AL,2771,Sem Parceria,0,0,1,0,0,0,1
351,AL,2773,Sem Parceria,0,0,1,0,0,0,1
352,AL,2775,Sem Parceria,0,0,0,0,0,1,2
353,AL,2775,Sem Parceria,0,0,0,1,0,0,1
354,AL,2775,Sem Parceria,0,0,1,0,0,0,4
355,AL,2777,Sem Parceria,0,0,1,0,0,0,2
356,AL,2779,Sem Parceria,0,0,0,0,0,1,1
357,AL,2779,Sem Parceria,0,0,0,1,0,0,1
358,AL,2779,Sem Parceria,0,0,1,0,0,0,3
359,AL,2779,Sem Parceria,0,1,0,0,0,0,4
360,AL,2779,Sem Parceria,0,1,1,0,0,0,1
361,AL,2779,Sem Parceria,1,0,0,0,0,0,2
362,AL,2779,Sem Parceria,1,1,0,0,0,0,4
363,AL,2779,Sem Parceria,1,1,0,0,0,1,1
364,AL,2781,Sem Parceria,0,0,0,0,0,1,3
365,AL,2781,Sem Parceria,0,0,1,0,0,0,1
366,AL,2781,Sem Parceria,0,1,0,0,0,0,5
367,AL,2781,Sem Parceria,1,1,0,0,0,0,1
368,AL,2783,Sem Parceria,0,0,0,0,0,1,4
369,AL,2783,Sem Parceria,0,0,0,1,0,0,1
370,AL,2783,Sem Parceria,0,0,1,0,0,0,2
371,AL,2783,Sem Parceria,0,1,0,0,0,0,3
372,AL,2783,Sem Parceria,1,1,0,0,0,0,2
373,AL,2785,Parceiros,1,0,0,0,1,0,1
374,AL,2785,Sem Parceria,0,0,0,0,0,1,1033
375,AL,2785,Sem Parceria,0,0,0,0,1,0,25
376,AL,2785,Sem Parceria,0,0,0,1,0,0,27
377,AL,2785,Sem Parceria,0,0,0,1,1,0,5
378,AL,2785,Sem Parceria,0,0,1,0,0,0,706
379,AL,2785,Sem Parceria,0,0,1,0,0,1,3
380,AL,2785,Sem Parceria,0,0,1,0,1,0,9
381,AL,2785,Sem Parceria,0,0,1,1,0,0,6
382,AL,2785,Sem Parceria,0,1,0,0,0,0,68
383,AL,2785,Sem Parceria,0,1,0,0,0,1,5
384,AL,2785,Sem Parceria,0,1,1,0,0,0,2
385,AL,2785,Sem Parceria,1,0,0,0,0,0,83
386,AL,2785,Sem Parceria,1,0,0,0,0,1,22
387,AL,2785,Sem Parceria,1,0,0,0,1,0,1
388,AL,2785,Sem Parceria,1,0,0,1,0,0,1
389,AL,2785,Sem Parceria,1,0,0,1,1,0,2
390,AL,2785,Sem Parceria,1,0,1,0,0,0,3
391,AL,2785,Sem Parceria,1,0,1,1,0,0,1
392,AL,2785,Sem Parceria,1,1,0,0,0,0,35
393,AL,2785,Sem Parceria,1,1,0,0,0,1,13
394,AL,2785,Sem Parceria,1,1,0,1,0,0,1
395,AL,2787,Sem Parceria,0,0,0,0,0,1,4
396,AL,2787,Sem Parceria,0,0,0,1,0,0,1
397,AL,2787,Sem Parceria,0,0,0,1,1,0,1
398,AL,2787,Sem Parceria,0,0,1,0,0,0,2
399,AL,2787,Sem Parceria,1,0,0,0,0,0,1
400,AL,2789,Sem Parceria,0,0,0,0,0,1,3
401,AL,2789,Sem Parceria,0,0,1,0,0,0,6
402,AL,2789,Sem Parceria,0,1,0,0,0,0,3
403,AL,2791,Sem Parceria,0,0,1,0,0,0,2
404,AL,2793,Sem Parceria,0,0,0,0,0,1,69
405,AL,2793,Sem Parceria,0,0,0,1,0,0,1
406,AL,2793,Sem Parceria,0,0,1,0,0,0,7
407,AL,2793,Sem Parceria,0,1,0,0,0,0,7
408,AL,2793,Sem Parceria,1,0,0,0,0,0,1
409,AL,2793,Sem Parceria,1,0,0,1,0,0,1
410,AL,2795,Sem Parceria,0,0,0,0,0,1,1
411,AL,2795,Sem Parceria,0,0,1,0,0,0,6
412,AL,2795,Sem Parceria,0,1,0,0,0,0,1
413,AL,2799,Sem Parceria,0,0,1,0,0,0,2
414,AL,2801,Sem Parceria,0,0,0,0,0,1,5
415,AL,2801,Sem Parceria,0,0,1,0,0,0,2
416,AL,2803,Sem Parceria,0,0,0,0,0,1,4
417,AL,2803,Sem Parceria,0,0,0,1,1,0,1
418,AL,2803,Sem Parceria,0,0,1,0,0,0,9
419,AL,2805,Sem Parceria,0,0,0,0,0,1,1
420,AL,2805,Sem Parceria,0,1,0,0,0,0,1
421,AL,2807,Sem Parceria,0,0,0,0,0,1,1
422,AL,2807,Sem Parceria,0,0,0,1,0,0,1
423,AL,2807,Sem Parceria,0,0,1,0,0,0,1
424,AL,2809,Sem Parceria,0,0,0,0,0,1,1
425,AL,2809,Sem Parceria,0,0,0,1,1,0,1
426,AL,2809,Sem Parceria,0,0,1,0,0,0,6
427,AL,2811,Sem Parceria,0,0,0,0,0,1,1
428,AL,2811,Sem Parceria,0,0,0,0,1,0,1
429,AL,2811,Sem Parceria,0,0,0,1,1,0,1
430,AL,2813,Sem Parceria,0,0,0,0,0,1,33
431,AL,2813,Sem Parceria,0,0,0,0,1,0,1
432,AL,2813,Sem Parceria,0,0,0,1,0,0,2
433,AL,2813,Sem Parceria,0,0,1,0,0,0,11
434,AL,2813,Sem Parceria,0,0,1,0,1,0,1
435,AL,2813,Sem Parceria,0,0,1,1,1,0,1
436,AL,2813,Sem Parceria,0,1,0,0,0,0,1
437,AL,2817,Sem Parceria,0,0,0,1,1,0,1
438,AL,2819,Sem Parceria,0,0,0,0,1,0,1
439,AL,2819,Sem Parceria,0,0,1,0,0,0,4
440,AL,2821,Sem Parceria,0,0,1,0,0,0,6
441,AL,2821,Sem Parceria,1,0,0,0,0,1,1
442,AL,2825,Sem Parceria,0,0,0,0,0,1,25
443,AL,2825,Sem Parceria,0,0,0,0,1,0,1
444,AL,2825,Sem Parceria,0,0,0,1,0,0,1
445,AL,2825,Sem Parceria,0,0,0,1,1,0,1
446,AL,2825,Sem Parceria,0,0,1,0,0,0,35
447,AL,2825,Sem Parceria,0,1,0,0,0,0,5
448,AL,2825,Sem Parceria,1,0,0,0,0,0,1
